time,open,high,low,close,Plot,Plot,Volume,Volume MA,"UKX, TVC: Open","UKX, TVC: High","UKX, TVC: Low","UKX, TVC: Close",Accumulation/Distribution,Aroon Up,Aroon Down
1501545600,4261.48,4745.42,3400,4724.89,NaN,NaN,10015.640271999999,NaN,35751.2512,36623.45224496,35349.70528992,36035.53523696,9709.979445218536,NaN,NaN
1504224000,4689.89,4939.19,2817,4378.51,NaN,NaN,27634.18912,NaN,35275.38280073,35417.326596000006,34164.324708730004,35000.70259854,22742.33069414989,NaN,NaN
1506816000,4378.49,6498.01,4110,6463,NaN,NaN,41626.388462999996,NaN,36262.9190763,37208.99304315,36262.77250499999,36854.71447185,63148.17162167923,NaN,NaN
1509494400,6463,11300.03,5325.01,9838.96,NaN,NaN,108487.97811899999,NaN,36545.25026372,36983.07650772,35733.63443628,35733.63443628,118579.07873829681,NaN,NaN
1512086400,9837,19798.68,9380,13716.36,NaN,NaN,408432.865114,NaN,36407.688067079995,38251.01380092,36219.157115999995,38202.066684,50133.993067709074,NaN,NaN
1514764800,13715.65,17176.24,9035,10285.1,NaN,NaN,816675.564467,NaN,38147.48351700001,38667.462472210005,37323.774917,37382.227462580006,-515737.9780547397,NaN,NaN
1517443200,10285.1,11786.01,6000.01,10326.76,NaN,NaN,1243939.210802,NaN,39251.30116796,39361.654246,36851.89986396,37679.69852404,100749.35118389403,NaN,NaN
1519862400,10325.64,11710,6600.1,6923.91,NaN,NaN,1235148.956367,NaN,36540.67266754,36656.68215427,34696.58723273,35654.93284173,-977858.9356744275,NaN,NaN
1522540800,6922,9759.82,6430,9246.01,9224.455467869857,9224.455467869857,1110963.1677549998,NaN,36405.050474100004,38930.6404718,35967.25825,38740.477668199994,-209751.52902615175,NaN,NaN
1525132800,9246.01,10020,7032.95,7485.01,8516.543683147289,8516.543683147289,914473.5375460001,NaN,37958.75955902,39951.40215,37873.28271649,38812.53419098,-847432.3062346649,NaN,NaN
1527811200,7485.01,7786.69,5750,6390.07,7821.627066697208,7821.627066697208,942242.5449529999,NaN,37485.74119642,38048.403221420005,36656.36809558,37284.25692942,-1197438.2459624547,NaN,NaN
1530403200,6391.08,8491.77,6070,7730.93,7481.180215591026,7481.180215591026,1102510.4367860002,NaN,37039.87516302,37747.84280499,36573.197571000004,37582.259905980005,-787672.4056693175,NaN,NaN
1533081600,7735.67,7750,5880,7011.21,7258.640696174122,7258.640696174122,1408159.816556,NaN,37327.32570856,37526.806442279994,35785.38864228,35803.45314228,-492169.6916517209,NaN,NaN
